UNIVERSIDAD,NUMERO TELEFONICO,Direcci¢n,Latitud,Longitud
UNIMEX (UNIVERSIDAD MEXICANA),9 32 39 16,"Juan Enr¡quez 1004, Salvador D¡az Mir¢n, 91910","19ø11'01.7""N","96ø07'54.5""W"
UNIVERSIDAD DEL GOLFO DE MEXICO (UGMEX)|,9 31 11 45 ,"Av. Salvador D¡az Mir¢n 1099, Zona Centro, 91700","19ø11'03.1""N","96ø08'07.7""W"
CETUG,9 32 89 95,"V¡ctimas del 25 de Junio 362, Centro, 91700ÿ","19ø11'49.7""N","96ø07'57.0""W"
UNIVERSIDAD EURO HISPANOAMERICANO (XALAPA),01 228 201 5365,"Avenida de los µlamos #1, La Pradera, 91097 Xalapa Enr¡quez, Ver.","19ø30'17.4""N","96ø51'26.7""W"
CENTRO LINGUISTICO INTERAMERICANO ,2 00 08 86,"Emparan 503, Centro, 91810 Centro, Ver","19ø11'60.0""N","96ø08'35.0""W"
PRIMERA ESCUELA DE TRAFICO Y TRAMITACION ADUANAL (ETTA)|,9 31 76 80,"1ø de Mayo 729, Flores Mag¢n, Ricardo Flores Mag¢n, 91900","19ø11'28.9""N","96ø07'49.9""W"
UNIVERSIDAD DE DESARROLLO PROFESIONAL (UNIDEP),9 31 03 70,"Independencia 787 casi Esq. Constituci¢n, Col. Centro 91700","19ø12'09.9""N","96ø08'25.6""W"
INSTITUTO UNIVERSITARIO DEL CENTRO DE MEXICO (EDUCEM),9 31 36 12,5 de Mayo #1369 esq. Mariano Arista Col. Centro,"19ø11'51.3""N","96ø08'18.6""W"
UNIVERSIDAD TERCER MILENIO,2 18 18 18,"Blvd. Manuel µvila Camacho 3855, Fracc. Costa Verde, Costa Verde, 94294","19ø10'13.8""N","96ø07'03.9""W"
CENTRO UNIVERSITARIO LAS AMERICAS,9 37 89 28 / 9 37 60 53 EXT. 103,"22 de Marzo 540, Ignacio Zaragoza, 91910ÿ","19ø10'33.0""N","96ø07'55.3""W"
CENTRO ACADEMICO RUSSELL,9 80 77 89,"Calz Simon Bol¡var 654, Reforma, 91919","19ø10'29.7""N","96ø07'36.6""W"
UNIVERSIDAD DE ORIENTE,1 30 93 42,Car. Veracruz-Medell¡n Km. 1.5 Col- El Jobo a 500 mts. de Inf. las Vegas C.P. 91967,"19ø07'59.1""Nÿ","96ø08'37.2""W"
INSTITUTO VERACRUZANO DE ARTES CULINARIAS,ÿ2 00 89 22,"Juan Enr¡quez 421, Ricardo Flores Mag¢n, 91900 ","19ø11'11.0""N","96ø07'34.6""W"
CETS BAUHAUS,9 32 03 12,"Av. Salvador D¡az Mir¢n 961, Centro, 91700","19ø11'06.5""N","96ø08'07.6""W"
CENTRO EDUCATIVO FREINET,2 95 13 00,"Calle J. M. Garc¡a 77, Miguel Alem n, 91898ÿ","19ø12'24.7""N","96ø09'03.5""W"
INSTITUTO TECNOLOGICO DE ALVARADO ,9 55 41 73,"Paseo Las Aves S/N, Fracc. Puente Moreno, Medellin de bravoÿ","19ø05'59.3""N","96ø09'29.6""W"
CENTRO DE CAPACITACION PARA EL TRABAJO Y AUTOEMPLEO (ACAPT),2 99 47 30,"Av. Galeana Nte. 1234, Pinos, 91897ÿ","19ø12'13.0""Nÿ","96ø09'42.0""W"
CEUL,2 85 23 10,"Av Lafragua 1345, Moderno, 91918ÿ","19ø10'35.3""N","96ø07'58.3""W"
CENTRO DE ESTUDIOS AMPARO DEL CASTILLO ,9 32 37 53,"Ca¤ones Tampico 40, Centro, 91700","19ø11'33.2""N","96ø08'05.1""W"
JEAN PIAGET,9 31 63 63,"Nicol s Bravo 400, Centro, 91700","19ø11'52.2""N","96ø08'32.3""W"
THE INSTITUTE,ÿ9 32 82 20,"Av. Valent¡n G¢mez Farias 1793, Ricardo Flores Mag¢n, 91900 Veracruz, Ver.","19ø11'15.2""N","96ø07'35.5""W"
UPAV,ÿ9 02 30 60,"Playa del Rey 387 entre rafael cuervo y playa los cocos, Playa Linda, 91810","19ø12'58.2""N","96ø10'36.6""W"
"ICCAAT (INSTITUTO DE CAPACITACION, CERTIFICACION Y ACTUALIZACION AUTOMOTRIZ TERANS)",1 06 44 21,"No. entre y, Av Revillagigedo & Calle Constituci¢n, Pino Su rez","19ø11'49.4""N","96ø08'58.6""W"
INSTITUO LEONARDO BRAVO,9 35 40 10,"Costa Verde 305, Virginia, 94294ÿ","19ø09'58.4""N","96ø07'04.4""W"
TECNOLOGICO DEL BOCA DEL RIO,6 90 50 10,"Carr. Veracruz-C¢rdoba 12, 94290","19ø05'47.7""N","96ø06'25.6""W"
INSTITUTO DE CAPACITACION PARA LA SUPERACION PERSONAL (ICAPS),9 31 44 11,"V¡ctimas del 25 de Junio 450, Centro, 91700ÿ","19ø11'47.3""N","96ø07'58.9""W"
LE CHEF COLLEGE,9 22 29 07,"Av Urano 2222, Joyas de Mocambo, 91700 Boca del R¡o, Ver.","19ø08'43.7""N","96ø06'43.8""W"
GESTALT STUDIES CENTER,932 6396 / 932 8174,"ÿAv. Lafragua No.955 esq. Collado Col. Zaragoza,91910","19ø10'48.4""N","96ø08'00.0""W"
COLEGIOS DE ESTUDIOS PROFESIONALES EL AGORA,2 83 16 76,"Juan Enr¡quez 182, Ricardo Flores Mag¢n, 91900","19ø11'15.0""N","96ø07'27.5""W"
CENTRO UNIVERSITARIO DE GUANAJUATO,9 81 14 57,Plaza Progreso Local 28-A Calle Abeludes #80 Cd. Industrial Bruno Pagliai Tejer¡a Veracruz,"19ø10'07.7""N","96ø13'36.2""W"
SILEO (SISTEMA INTEGRAL DE LECTURA EFICIENTE Y OPTIMIZADA),2 22 47 83,"Av. Ing. Ernesto Dom¡nguez Aguirre 20, Reforma, 91919","19ø10'27.3""N","96ø07'20.0""W"
,,,,
,,,,
